Timestamp, Time, Mean, Variance, Deviation, Weighted, Min, Max, Root Mean Square
25.230, 3.201000000E+001, 5.634985657E-004, 3.868895616E-006, 1.966950842E-003, 3.330085869E+002, -3.230919363E-003, 8.213705383E-003, 2.022884807E-003
25.330, 3.211000000E+001, 8.129036786E-004, 2.501677265E-006, 1.581669139E-003, 3.334208402E+002, -1.616076916E-003, 6.687447894E-003, 1.761099979E-003
25.430, 3.221000000E+001, 4.673910285E-004, 3.137020340E-006, 1.771163555E-003, 3.329932374E+002, -2.277554944E-003, 8.086447604E-003, 1.810790441E-003
25.530, 3.231000000E+001, 2.737288084E-004, 3.090614927E-006, 1.758014484E-003, 3.326852965E+002, -2.225634642E-003, 8.679298684E-003, 1.757885530E-003
25.630, 3.241000000E+001, 1.878982127E-004, 3.062685510E-006, 1.750053002E-003, 3.328849325E+002, -3.157305997E-003, 7.451242302E-003, 1.738761514E-003
25.730, 3.251000000E+001, 3.621510603E-004, 3.005438446E-006, 1.733620041E-003, 3.329941139E+002, -2.526920289E-003, 7.129928097E-003, 1.750225260E-003
25.830, 3.261000000E+001, 5.841490659E-004, 2.203127720E-006, 1.484293677E-003, 3.330059178E+002, -1.616514171E-003, 7.068022154E-003, 1.578170786E-003
25.930, 3.271000000E+001, 5.179095084E-004, 3.522190857E-006, 1.876750079E-003, 3.332014839E+002, -2.094347030E-003, 9.457251057E-003, 1.924711413E-003
26.030, 3.281000000E+001, 3.257457990E-004, 3.435302180E-006, 1.853456819E-003, 3.329395195E+002, -3.859680844E-003, 7.367661688E-003, 1.859468916E-003
26.130, 3.291000000E+001, 6.626376030E-004, 2.511526626E-006, 1.584779678E-003, 3.327620590E+002, -1.914011547E-003, 7.987447083E-003, 1.699811305E-003
26.230, 3.301000000E+001, 8.023920349E-004, 2.701639169E-006, 1.643666380E-003, 3.330517001E+002, -2.562871436E-003, 6.282078102E-003, 1.810960659E-003
26.330, 3.311000000E+001, -4.713117670E-005, 3.048333225E-006, 1.745947658E-003, 3.330322031E+002, -2.762150718E-003, 8.358606137E-003, 1.725168102E-003
26.430, 3.321000000E+001, 2.881861110E-004, 2.508338676E-006, 1.583773556E-003, 3.330217308E+002, -2.171045868E-003, 7.162422873E-003, 1.590663672E-003
26.530, 3.331000000E+001, 1.089980810E-003, 3.270373200E-006, 1.808417319E-003, 3.334796701E+002, -1.802711282E-003, 8.986515924E-003, 2.092526264E-003
26.630, 3.341000000E+001, 8.778190276E-004, 3.333268310E-006, 1.825724051E-003, 3.332697003E+002, -1.850120025E-003, 8.479904383E-003, 2.005625919E-003
26.730, 3.351000000E+001, 2.743516764E-004, 2.614597355E-006, 1.616971662E-003, 3.325738547E+002, -2.198277973E-003, 8.082898334E-003, 1.620523227E-003
26.830, 3.361000000E+001, 3.167906993E-004, 2.797838412E-006, 1.672674030E-003, 3.330409788E+002, -1.986941556E-003, 7.268913556E-003, 1.682246949E-003
26.930, 3.371000000E+001, 8.540782936E-004, 3.272690432E-006, 1.809057885E-003, 3.333207731E+002, -1.814538380E-003, 9.005069733E-003, 1.980484397E-003
27.030, 3.381000000E+001, 4.044191908E-004, 3.730760306E-006, 1.931517617E-003, 3.325820831E+002, -3.230569884E-003, 8.483345620E-003, 1.950210510E-003
27.130, 3.391000000E+001, -3.030879284E-004, 3.864497534E-006, 1.965832530E-003, 3.329987045E+002, -3.178269602E-003, 8.704714477E-003, 1.965223598E-003
27.230, 3.401000000E+001, 3.861988026E-004, 3.624040160E-006, 1.903691193E-003, 3.327972372E+002, -2.103554318E-003, 7.961040363E-003, 1.919582885E-003
27.330, 3.411000000E+001, 2.895402183E-004, 3.080640775E-006, 1.755175426E-003, 3.332838720E+002, -2.426549559E-003, 8.804135025E-003, 1.757650913E-003
27.430, 3.421000000E+001, 3.105345566E-004, 2.864669925E-006, 1.692533582E-003, 3.332297984E+002, -3.248927416E-003, 7.059258409E-003, 1.700362208E-003
27.530, 3.431000000E+001, 4.611272426E-004, 3.152929361E-006, 1.775648997E-003, 3.334851444E+002, -3.048808081E-003, 7.937724702E-003, 1.813468218E-003
27.630, 3.441000000E+001, 8.898082343E-004, 2.141770987E-006, 1.463479070E-003, 3.329365621E+002, -1.974200131E-003, 7.382967975E-003, 1.697436704E-003
27.730, 3.451000000E+001, 4.393350238E-004, 2.784835289E-006, 1.668782577E-003, 3.332845018E+002, -2.345173387E-003, 6.286868826E-003, 1.705851031E-003
27.830, 3.461000000E+001, 6.979481409E-004, 3.871861810E-006, 1.967704706E-003, 3.330270072E+002, -1.981671201E-003, 1.035473961E-002, 2.065080571E-003
27.930, 3.471000000E+001, 8.719968624E-004, 3.809639268E-006, 1.951829723E-003, 3.330991730E+002, -2.530687023E-003, 9.584160522E-003, 2.115915822E-003
28.030, 3.481000000E+001, 3.996128666E-004, 4.037099532E-006, 2.009253476E-003, 3.331117729E+002, -3.504119813E-003, 8.428828791E-003, 2.024431805E-003
28.130, 3.491000000E+001, 1.751836886E-004, 3.522070272E-006, 1.876717952E-003, 3.330199127E+002, -3.136860440E-003, 9.311356582E-003, 1.861949367E-003
28.230, 3.501000000E+001, 6.766286465E-004, 3.599098170E-006, 1.897128928E-003, 3.330016422E+002, -3.383473027E-003, 8.193820715E-003, 1.992270467E-003
28.330, 3.511000000E+001, 8.549683728E-004, 4.672292091E-006, 2.161548540E-003, 3.323347262E+002, -2.669384237E-003, 1.034386363E-002, 2.299848835E-003
28.430, 3.521000000E+001, 1.406673496E-004, 3.033561305E-006, 1.741712176E-003, 3.329499918E+002, -2.208152786E-003, 8.077012375E-003, 1.726082069E-003
28.530, 3.531000000E+001, 4.615755947E-004, 4.097541443E-006, 2.024238485E-003, 3.327713715E+002, -3.039842704E-003, 8.406924084E-003, 2.051987680E-003
28.630, 3.541000000E+001, 4.131423072E-004, 3.612590930E-006, 1.900681701E-003, 3.328672491E+002, -2.504864242E-003, 9.020667523E-003, 1.922281333E-003
28.730, 3.551000000E+001, -1.633044275E-004, 4.302571195E-006, 2.074264013E-003, 3.329179926E+002, -2.968751360E-003, 1.064780168E-002, 2.055309896E-003
